use,keyword,pref_label,synonyms,definition,class
,carrier,transporter activity,"('carrier',)","('Enables the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells.', ""Some transporters, such as certain members of the SLC family, are referred to as 'carriers'; however GO uses carrier with a different meaning: a carrier binds to and transports the substance (see GO:0140104 molecular carrier activity), whereas a transporter forms some pore that allows the passing of molecules."")",GO:0005215
?,cell,Cell,"('Cell',)","('Any small compartment.',)",Thesaurus:C48694
,cell,Cell,"('Cell',)","('Any small compartment.',)",Thesaurus:C48694
,cell,Cell,"('Normal Cell', 'Cell', 'Cell Type', 'Cell Types', 'Cells', 'Cellular', 'cell', '{Cells}')","('The smallest units of living structure capable of independent existence, composed of a membrane-enclosed mass of protoplasm and containing a nucleus or nucleoid.',)",NCIT:C12508
,cell,Cell,(),"('The smallest units of living structure capable of independent existence, composed of a membrane-enclosed mass of protoplasm and containing a nucleus or nucleoid.',)",NCIT:C12508
,cell,cell,(),"('A material entity of anatomical origin (part of or deriving from an organism) that has as its parts a maximally connected cell compartment surrounded by a plasma membrane. [CL]',)",http://purl.allotrope.org/ontologies/material#AFM:0000341
,cell,cell,(),"('A material entity of anatomical origin (part of or deriving from an organism) that has as its parts a maximally connected cell compartment surrounded by a plasma membrane.', 'Anatomical structure that has as its parts a maximally connected cell compartment surrounded by a plasma membrane.')",CL:0000000
,cell,cell,(),"('A material entity of anatomical origin (part of or deriving from an organism) that has as its parts a maximally connected cell compartment surrounded by a plasma membrane.', 'The definition of cell is intended to represent all cells, and thus a cell is defined as a material entity and not an anatomical structure, which implies that it is part of an organism (or the entirety of one).')",CL:0000000
,cell,cell,(),"('A material entity of anatomical origin (part of or deriving from an organism) that has as its parts a maximally connected cell compartment surrounded by a plasma membrane.',)",CL:0000000
,cell,cell,(),"('In radar usage, a local maximum in radar reflectivity that undergoes a life cycle of growth and decay. The rising portion of the reflectivity maximum is indicative of updraft, and the later descending portion is indicative of a precipitation downdraft. Cells in ordinary convective storms last from 20 to 30 min, but often form longer-lasting multicell convective storms. Cells in supercell storms are more steady and last considerably longer. See also thunderstorm cell.',)",http://sweetontology.net/phenFluidDynamics/Cell
,cell,cell,(),"('The basic structural and functional unit of all organisms. Includes the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope.',)",GO:0005623
,cell,cell,(),"('a cell is a biological entity that is contained by a plasma membrane.',)",SIO:010001
,cell,cell,(),"('minute protoplasmic masses that make up organized tissue, consisting of a nucleus which is surrounded by protoplasm which contains the various organelles and is enclosed in the cell or plasma membrane; cells are the fundamental, structural, and functional units of living organisms.',)",http://purl.bioontology.org/ontology/CSP/0605-5409
,cell line,Cell Line,"('Cell Lines', 'Line, Cell', 'Lines, Cell')","('Established cell cultures that have the potential to propagate indefinitely.',)",MESH:D002460
,cell line,Cell Line,"('cultured cell line', 'cultured cells', 'Cell Line', 'Cell-Line', 'CellLine')","('A permanently established cell culture that will proliferate indefinitely given appropriate fresh medium and space.',)",Thesaurus:C16403
,cell line,Cell Line,"('cultured cell line', 'cultured cells', 'Cell Line', 'Cell-Line', 'CellLine')","('A permanently established cell culture that will proliferate indefinitely given appropriate fresh medium and space.',)",Thesaurus:C16403
,cell line,cell line,"('cell cloning', 'immortalized cell', 'human cell line', 'cell immortalization', 'permanent cell line', 'continuous cell line', 'stable cell line', 'established cell line')","('permanently established cell culture that will proliferate indefinately provided that it has the appropriate medium and space.',)",http://purl.bioontology.org/ontology/CSP/4000-0369
y,cell line,cell line,(),"('A cultured cell population that represents a genetically stable and homogenous population of cultured cells that shares a common propagation history (i.e. has been successively passaged together in culture).  \n', 'A cultured cell population that represents a genetically stable and homogenous population of cultured cells that shares a common propagation history (i.e. has been successively passaged together in culture). ', ""The term 'line' is used when a culture has undergone an intentional experimental process to establish a more uniform and stable population of cells (see 'establishing cell line'). This will require one or more passages, but may involve additional selection processes. Through such passaging and/or selection processes, the resulting 'line' attains some level of genetic stability and compositional homogeneity which is typically absent in primary cultures. Because of their relative homogeneity, ‘lines’ are capable of being characterized and stably propagated over a period of time.  A new *type* of cell line can be established not only through the passaging/selection of a primary culture, but also through experimental modifications of existing lines (e.g. immortalization, stable genetic modifications, drug selection for a resistant subset, etc.).  \n\t\nThe definition provided here establishes the 'scale' of cell populations that qualify as cell lines - specifically those with a shared propagation history in culture. In this way,  the 'cell line' class demarcates populations that represent what researchers actually use in the practice of science - e.g. as inputs to culturing, experimentation, and sharing. The definition is such that cell lines will exhibit important attributes. For example, they will have a relatively homogenous cell type composition as they have experienced similar selective pressures due to their continuous co-propagation. In addition, these populations can also be characterized by a passage number, again owing to their common passaging history.\xa0 As defined here,  'cell line' can refer to a population of cells in active culture, applied experimentally, or stored in a quiescent state for future use. \n"")",CLO:0000031
,cell line,cell line,(),"('培养的细胞群体代表具有共同繁殖历史（即已经在培养中一起连续传代）的遗传稳定且同质的培养细胞群体。 \n', 'A cultured cell population that represents a genetically stable and homogenous population of cultured cells that shares a common propagation history (i.e. has been successively passaged together in culture).  \n', 'A cultured cell population that represents a genetically stable and homogenous population of cultured cells that shares a common propagation history (i.e. has been successively passaged together in culture). ')",CLO:0000031
,charge,Charge,"('Charge', 'Charged')","('The quantity of unbalanced electricity in a body (either positive or negative) and construed as an excess or deficiency of electrons.',)",Thesaurus:C48050
,charge,Charge,"('Charge', 'Charged')","('The quantity of unbalanced electricity in a body (either positive or negative) and construed as an excess or deficiency of electrons.',)",Thesaurus:C48050
,charge,Fees and Charges,"('Fees', 'Fee', 'Charges and Fees', 'Charges', 'Charge')","('Amounts charged to the patient as payer for health care services.',)",MESH:D005249
,charge,charge,(),"('Charge is a quality that inheres in a molecular entity by virtue of the overall electric charge of the molecule, which is due to a comparison between the total number of electrons and the total number of protons.',)",http://semanticscience.org/resource/CHEMINF:000120
,charge,electric charge,"('charge',)","('&lt;ncicp:ComplexDefinition&gt;&lt;ncicp:def-definition&gt;A property of matter responsible for electrical phenomena.&lt;/ncicp:def-definition&gt;&lt;/ncicp:ComplexDefinition&gt;',)",http://purl.bioontology.org/ontology/npo#NPO:1292
y,charge,electric charge (molecular quality),"('electric charge', 'charge')","('Electric charge is a molecular quality that inheres in a molecular entity by virtue of the overall electric charge of the molecule, which is due to a comparison between the total number of electrons and the total number of protons. [PATO]',)",PATO:0002193
,chem,Chemical procedure,"('SECTION 3-7 CHEMISTRY PROCEDURES', 'Chemical test,', 'Chemistry Test', 'Chemistry', 'Chemistry Technique', 'Unlisted chemistry procedure', 'Chemical measurement', 'CLINICAL CHEMISTRY TEST', 'Chemistry Measurement', 'CHEMISTRY PROCEDURES', 'CHEM')","('A laboratory test designed for the quantification of an organic or inorganic chemical within a biological specimen. (source : NCI)',)",http://doe-generated-ontology.com/OntoAD#C0201682
,chem,methyl-accepting chemotaxis protein II,"('cheM', 'tar', 'aspartate chemoreceptor protein', 'MCP-II')","('A protein that is a translation product of the tar gene or a 1:1 ortholog thereof.', 'Category=gene. Flag=automatic.')",PR:000024026
,chem,methyl-accepting chemotaxis protein II (Escherichia coli K-12),"('tar', 'cheM', 'JW1875', 'b1886', 'MCP-II (Escherichia coli K-12)', 'aspartate chemoreceptor protein (Escherichia coli K-12)', 'Ec-tar')","('A methyl-accepting chemotaxis protein II that is encoded in the genome of Escherichia coli K-12.', 'Category=organism-gene.')",PR:P07017
